rank,personName,age,finalWorth,category,source,country,state,city,organization,selfMade,gender,birthDate,title
480,Eric Smidt,62,5500,Fashion & Retail,hardware stores,United States,California,Beverly Hills,,TRUE,M,01/01/1960,
480,Viktor Vekselberg,64,5500,Energy,metals- energy,Russia,,Moscow,,TRUE,M,4/14/1957,
480,Ronald Wanek,80,5500,Manufacturing,furniture,United States,Florida,Saint Petersburg,,TRUE,M,5/19/1941,
490,Rene Benko,45,5400,Real Estate,real estate- retail,Austria,,,,TRUE,M,3/20/1977,
490,John Brown,87,5400,Healthcare,medical equipment,United States,Georgia,Atlanta,,TRUE,M,9/15/1934,
490,Chen Zhiping,46,5400,Manufacturing,e-cigarettes,China,,Shenzhen,,TRUE,M,01/01/1976,
490,Andrew Currie,66,5400,Manufacturing,chemicals,United Kingdom,,London,,TRUE,M,12/04/1955,
490,Jim Davis & family,78,5400,Manufacturing,New Balance,United States,Massachusetts,Newton,New Balance ,TRUE,M,5/17/1943,Chairman
490,Charles Dolan & family,95,5400,Media & Entertainment,cable television,United States,New York,Oyster Bay,Cablevision Systems Corp.,TRUE,M,10/16/1926,Chairman and Founder
490,Tom Golisano,80,5400,Service,payroll services,United States,Florida,Naples,,TRUE,M,11/14/1941,
490,Hui Wing Mau,71,5400,Real Estate,real estate,Hong Kong,,Hong Kong,,TRUE,M,07/01/1950,
490,Daniel Kretinsky,46,5400,Energy,energy- investments,Czechia,,Prague,,TRUE,M,07/09/1975,
490,Massimiliana Landini Aleotti & family,79,5400,Healthcare,pharmaceuticals,Italy,,Fiesole (FI),,FALSE,F,01/01/1943,
490,Joe Lewis,85,5400,Finance & Investments,investments,Bahamas,,Albany,,TRUE,M,02/05/1937,
490,Li Chunan,53,5400,Manufacturing,renewable energy,China,,Fushun,,TRUE,M,10/10/1968,
490,Lin Muqin & family,58,5400,Food & Beverage,beverages,China,,Shenzhen,,TRUE,M,01/01/1964,
490,Shigenobu Nagamori,77,5400,Manufacturing,motors,Japan,,Kyoto,,TRUE,M,8/28/1944,
490,Kjell Inge Rokke,63,5400,Logistics,shipping- seafood,Norway,,Vettre,,TRUE,M,10/25/1958,
490,Wang Wenjing,57,5400,Technology,business software,China,,Beijing,,TRUE,M,12/05/1964,
490,Chris Xu,38,5400,Fashion & Retail,e-commerce,China,,Guangzhou,,TRUE,M,01/01/1984,
490,Samuel Yin,71,5400,Diversified,retail,Taiwan,,Taipei,,FALSE,M,8/16/1950,
490,M.A. Yusuff Ali,66,5400,Fashion & Retail,retail,United Arab Emirates,,Abu Dhabi,,TRUE,M,11/15/1955,
509,Denise Coates,54,5300,Gambling & Casinos,online gambling,United Kingdom,,Stoke-on-Trent,,TRUE,F,9/26/1967,
509,Ken Fisher,71,5300,Finance & Investments,money management,United States,Texas,Dallas,,TRUE,M,11/29/1950,
509,Peter Grogg,80,5300,Healthcare,biochemicals,Switzerland,,Liestal,,TRUE,M,01/10/1942,
509,Dietmar Hopp & family,81,5300,Technology,software,Germany,,Walldorf,,TRUE,M,4/26/1940,
509,Sumet Jiaravanon,87,5300,Diversified,diversified,Thailand,,Bangkok,,FALSE,M,11/02/1934,
509,Nathan Kirsh,90,5300,Fashion & Retail,retail- real estate,Eswatini (Swaziland),,Ezulwini,,TRUE,M,01/06/1932,
509,Forrest Li,44,5300,Media & Entertainment,gaming,Singapore,,Singapore,,TRUE,M,01/01/1978,
509,Rudolf Maag,76,5300,Healthcare,medical devices,Switzerland,,Binningen,,TRUE,M,1/31/1946,
509,Gary Rollins,77,5300,Service,pest control,United States,Georgia,Atlanta,,FALSE,M,8/30/1944,
509,Ugur Sahin,56,5300,Healthcare,biotechnology,Germany,,Mainz,,TRUE,M,9/19/1965,
509,Mark Scheinberg,48,5300,Gambling & Casinos,online gambling,United Kingdom,,Isle of Man,,TRUE,M,12/27/1973,Entrepreneur
509,Shen Guojun,59,5300,Fashion & Retail,retail,China,,Beijing,,TRUE,M,7/31/1962,
509,Chip Wilson,65,5300,Fashion & Retail,Lululemon,Canada,,Vancouver,Lululemon Athletica,TRUE,M,01/01/1957,Chairman
509,Zhang Yong,51,5300,Food & Beverage,restaurants,Singapore,,Singapore,,TRUE,M,07/01/1970,
523,James Chambers,64,5200,Media & Entertainment,media- automotive,United States,New York,Palisades,,FALSE,M,04/12/1957,
523,Chen Fashu,61,5200,Finance & Investments,investments,China,,Fuzhou,,TRUE,M,10/26/1960,
523,Jaran Chiaravanont,92,5200,Diversified,diversified,Thailand,,Bangkok,,FALSE,M,04/01/1930,
523,Ravi Jaipuria,67,5200,Food & Beverage,soft drinks- fast food,India,,Delhi,,FALSE,M,11/28/1954,
523,Koon Poh Keong,60,5200,Manufacturing,aluminum,Malaysia,,Petaling Jaya,,TRUE,M,4/25/1961,
523,Li Liangbin,54,5200,Manufacturing,lithium,China,,Xinyu,,TRUE,M,09/01/1967,
523,Liang Feng,53,5200,Manufacturing,manufacturing,China,,Shanghai,,TRUE,M,11/22/1968,
523,Wolfgang Marguerre & family,80,5200,Healthcare,pharmaceuticals,Germany,,Heidelberg,,TRUE,M,06/04/1941,
523,Katharine Rayner,77,5200,Media & Entertainment,media- automotive,United States,New York,East Hampton,,FALSE,F,01/12/1945,
523,Carlos Rodriguez-Pastor,62,5200,Finance & Investments,finance,Peru,,Lima,,FALSE,M,04/11/1959,
523,Margaretta Taylor,79,5200,Media & Entertainment,media- automotive,United States,New York,Southampton,,FALSE,F,4/15/1942,
523,You Xiaoping,64,5200,Manufacturing,chemicals- spandex,China,,Wenzhou,,TRUE,M,1/21/1958,
523,Eric Yuan & family,52,5200,Technology,Zoom Video Communications,United States,California,Santa Clara,Rx relief,TRUE,M,2/20/1970,Founder and CEO
536,Robert Bass,74,5100,Energy,oil- investments,United States,Texas,Fort Worth,,FALSE,M,3/19/1948,
536,Alexandre Behring,55,5100,Finance & Investments,investments,United States,Connecticut,Greenwich,,TRUE,M,2/20/1967,
536,Chan Laiwa & family,81,5100,Real Estate,real estate,China,,Beijing,,TRUE,F,01/01/1941,Philanthropist
536,Jeff Greene,67,5100,Real Estate,real estate- investments,United States,Florida,Palm Beach,,TRUE,M,12/10/1954,
536,Montri Jiaravanont,91,5100,Diversified,diversified,Thailand,,Bangkok,,FALSE,M,04/01/1931,
536,Charles B. Johnson,89,5100,Finance & Investments,money management,United States,Florida,Palm Beach,Franklin Resources,FALSE,M,01/06/1933,Former Chairman and CEO
536,Elizabeth Johnson,58,5100,Finance & Investments,money management,United States,Massachusetts,Boston,,FALSE,F,05/07/1963,
536,Lin Bin,54,5100,Technology,smartphones,China,,Shenzhen,,TRUE,M,02/01/1968,
536,Hiroshi Mikitani,57,5100,Fashion & Retail,online retail,Japan,,Tokyo,,TRUE,M,03/11/1965,
536,Isaac Perlmutter,79,5100,Media & Entertainment,Marvel comics,United States,Florida,Palm Beach,Marvel Entertainment,TRUE,M,12/01/1942,Chairman
536,Michael Pieper,76,5100,Manufacturing,kitchen appliances,Switzerland,,Lucerne,Artemis Real Estate Partners,TRUE,M,02/05/1946,CEO of Artemis Group
536,Issad Rebrab & family,78,5100,Food & Beverage,food,Algeria,,Algiers,,TRUE,M,01/01/1944,
536,Tsai Hong-tu,69,5100,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,08/01/1952,
536,Richard Tsai,64,5100,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,06/02/1957,
536,Wang Junshi & family,73,5100,Manufacturing,solar inverters,China,,Ningbo,,TRUE,M,01/01/1949,
536,Wang Yanqing & family,55,5100,Manufacturing,electrical equipment,China,,Wuxi,,TRUE,M,04/07/1966,
552,Shari Arison,64,5000,Service,Carnival Cruises,Israel,,Tel Aviv,,FALSE,F,09/09/1957,Investor- Philanthropist
552,Alain Bouchard,73,5000,Fashion & Retail,convinience stores,Canada,,Montreal,Alimentation Couche Tard Inc. Cl A,TRUE,M,2/18/1949,Entrepreneur
552,Austen Cargill- II.,71,5000,Food & Beverage,Cargill,United States,Montana,Livingston,,FALSE,M,03/09/1951,
552,James Cargill- II.,72,5000,Food & Beverage,Cargill,United States,Wisconsin,Birchwood,,FALSE,M,04/07/1949,
552,Ben Chestnut,47,5000,Technology,email marketing,United States,Georgia,Atlanta,,TRUE,M,6/15/1974,
552,Wei Fang,48,5000,Manufacturing,steel,China,,Beijing,,TRUE,M,09/04/1973,
552,Leonid Fedun,66,5000,Energy,oil,Russia,,Moscow,,TRUE,M,04/05/1956,
552,Johann Graf,75,5000,Gambling & Casinos,gambling,Austria,,Vienna,,TRUE,M,01/03/1947,
552,Huang Chulong,63,5000,Real Estate,real estate,China,,Shenzhen,,TRUE,M,01/01/1959,
552,Huang Yi,60,5000,Automotive,car dealerships,China,,Beijing,,TRUE,M,01/01/1962,
552,Vladimir Kim,61,5000,Metals & Mining,mining,Kazakhstan,,Almaty,,TRUE,M,10/29/1960,
552,Dan Kurzius,50,5000,Technology,email marketing,United States,Georgia,Atlanta,,TRUE,M,12/01/1971,
552,Ronald Lauder,78,5000,Fashion & Retail,Estee Lauder,United States,New York,New York,,FALSE,M,2/26/1944,
552,Marianne Liebmann,68,5000,Food & Beverage,Cargill,United States,Montana,Bozeman,,FALSE,F,07/11/1953,
552,Tobi Lutke,41,5000,Technology,e-commerce,Canada,,Ottawa,,TRUE,M,7/16/1980,
552,Thomas Pritzker,71,5000,Finance & Investments,hotels- investments,United States,Illinois,Chicago,Hyatt Hotels,FALSE,M,06/06/1950,Executive Chairman
552,Scott Shleifer,44,5000,Finance & Investments,private equity,United States,New York,New York,Tiger Global Management,TRUE,M,6/14/1977,Investor
552,Autry Stephens,83,5000,Energy,oil,United States,Texas,Midland,,TRUE,M,01/01/1939,
552,Peter Thiel,54,5000,Finance & Investments,Facebook- investments,United States,California,Los Angeles,Founders Fund,TRUE,M,10/11/1967,Investor
552,Tsai Cheng-ta,72,5000,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,04/01/1950,
552,Maximilian Viessmann,,5000,Manufacturing,heating- cooling equipment,Germany,,Battenberg,,FALSE,M,,
552,Hansjoerg Wyss,87,5000,Healthcare,medical devices,United States,Wyoming,Wilson,,TRUE,M,01/01/1935,
552,Xiao Yongming & family,57,5000,Diversified,fertilizer,China,,Beijing,,TRUE,M,07/01/1964,
552,Zhang Tao,49,5000,Fashion & Retail,e-commerce,China,,Beijing,,TRUE,M,11/01/1972,
552,Daniel Ziff,50,5000,Finance & Investments,investments,United States,New York,New York,,FALSE,M,11/02/1971,
552,Dirk Ziff,58,5000,Finance & Investments,investments,United States,Florida,North Palm Beach,,FALSE,M,04/01/1964,
552,Robert Ziff,55,5000,Finance & Investments,investments,United States,New York,New York,,FALSE,M,08/12/1966,
579,Kapil & Rahul Bhatia,,4900,Service,airlines,India,,Delhi,,TRUE,M,,
579,Mat Ishbia,42,4900,Finance & Investments,mortgage lender,United States,Michigan,Bloomfield Hills,,FALSE,M,01/06/1980,
579,Robert Rich- Jr.,81,4900,Food & Beverage,frozen foods,United States,Florida,Islamorada,,FALSE,M,1/25/1941,
579,Thomas Schmidheiny,76,4900,Construction & Engineering,cement,Switzerland,,Jona,,FALSE,M,12/17/1945,
579,Alexandra Schoerghuber & family,63,4900,Real Estate,real estate,Germany,,Munich,,FALSE,F,7/24/1958,
579,Erik Selin,54,4900,Real Estate,real estate,Sweden,,Göteborg,,TRUE,M,05/08/1967,Entrepreneur
579,Daniel Tsai,65,4900,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,4/25/1956,
586,Dona Bertarelli,54,4800,Healthcare,biotech,Switzerland,,Gstaad,,FALSE,F,01/01/1968,
586,Andrei Guriev & family,62,4800,Manufacturing,fertilizers,Russia,,Moscow,,TRUE,M,3/24/1960,
586,Luciano Hang,59,4800,Fashion & Retail,department stores,Brazil,,Brusque,,TRUE,M,10/11/1962,
586,Hu Baifan,59,4800,Healthcare,pharmaceuticals,China,,Shaoxing,,TRUE,M,10/01/1962,
586,Bidzina Ivanishvili,66,4800,Finance & Investments,investments,Georgia,,Tbilisi,,TRUE,M,2/18/1956,
586,Yeow Chor & Yeow Seng Lee,,4800,Food & Beverage,palm oil- property,Malaysia,,,,FALSE,M,,
586,Leng Youbin,53,4800,Food & Beverage,infant formula,China,,Beijing,,TRUE,M,01/01/1969,
586,Theo Mueller,82,4800,Food & Beverage,dairy,Switzerland,,Zurich,,FALSE,M,1/30/1940,Entrepreneur
586,Julian Robertson- Jr.,89,4800,Finance & Investments,hedge funds,United States,New York,Locust Valley,,TRUE,M,6/25/1932,
586,Marc Rowan,59,4800,Finance & Investments,private equity,United States,New York,New York,,TRUE,M,8/19/1962,
586,Emanuele (Lino) Saputo & family,85,4800,Food & Beverage,cheese,Canada,,Montreal,Saputo,FALSE,M,01/01/1937,Chairman
586,Jeff Skoll,57,4800,Technology,eBay,United States,California,Los Angeles,,TRUE,M,1/16/1965,
586,Frank Wang,41,4800,Technology,drones,China,,Shenzhen,DJI Technology Co.,TRUE,M,10/30/1980,Entrepreneur
586,Wang Junlin,59,4800,Food & Beverage,liquor,China,,Chengdu,,TRUE,M,09/01/1962,
586,Yang Shaopeng,64,4800,Logistics,shipping,China,,Qingdao,,TRUE,M,01/01/1958,
601,Maria Fernanda Amorim & family,87,4700,Diversified,energy- investments,Portugal,,Grijo,,FALSE,F,1/16/1935,
601,Leonid Boguslavsky,70,4700,Finance & Investments,venture capital,Italy,,Florence,,TRUE,M,6/17/1951,
601,Richard Branson,71,4700,Diversified,Virgin,British Virgin Islands,,Necker Island,,TRUE,M,7/18/1950,
601,Robert Brockman,80,4700,Technology,software,United States,Texas,Houston,,TRUE,M,5/28/1941,
601,Pierre Chen,65,4700,Technology,electronics,Taiwan,,Taipei,,TRUE,M,9/28/1956,Entrepreneur
601,Chu Mang Yee & family,62,4700,Real Estate,real estate,China,,Guangzhou,,TRUE,M,01/01/1960,
601,Scott Cook,69,4700,Technology,software,United States,California,Woodside,,TRUE,M,7/26/1952,
601,Mark Cuban,63,4700,Media & Entertainment,online media- Dallas Mavericks,United States,Texas,Dallas,Dallas Mavericks,TRUE,M,7/31/1958,Owner
601,Guenther Fielmann & family,82,4700,Healthcare,optometry,Germany,,Hamburg,,TRUE,M,9/17/1939,
601,Martin Haefner,68,4700,Technology,software- investments,Switzerland,,Zurich,,FALSE,M,01/01/1954,
601,Johnelle Hunt,90,4700,Logistics,trucking,United States,Arkansas,Fayetteville,,TRUE,F,01/04/1932,
601,Andre Koo- Sr.,54,4700,Finance & Investments,financial services,Taiwan,,Taipei,,FALSE,M,5/25/1967,
601,Lai Meisong,51,4700,Logistics,package delivery,China,,Shanghai,,TRUE,M,01/01/1971,
601,Richard Li,55,4700,Telecom,telecom,Hong Kong,,Hong Kong,,FALSE,M,11/08/1966,
601,Mangal Prabhat Lodha,66,4700,Real Estate,real estate,India,,Mumbai,,TRUE,M,12/01/1955,
601,Igor Olenicoff,79,4700,Real Estate,real estate,United States,Florida,Lighthouse Point,,TRUE,M,9/20/1942,
601,Mark Shoen,71,4700,Automotive,U-Haul,United States,Arizona,Phoenix,,FALSE,M,11/20/1950,
601,Andrei Skoch & family,56,4700,Metals & Mining,steel,Russia,,Moscow,,TRUE,M,1/30/1966,
601,Fred Smith,77,4700,Logistics,FedEx,United States,Tennessee,Memphis,FedEx,TRUE,M,08/11/1944,Chairman and CEO
601,Murat Ulker,63,4700,Food & Beverage,food,Turkey,,Istanbul,,FALSE,M,3/23/1959,
601,Yu Yong,61,4700,Finance & Investments,mining,China,,Shanghai,,TRUE,M,02/01/1961,
622,Stéphane Bancel,49,4600,Healthcare,biotech,United States,Massachusetts,Boston,,TRUE,M,7/20/1972,
622,Bubba Cathy,67,4600,Food & Beverage,Chick-fil-A,United States,Georgia,Atlanta,,FALSE,M,4/22/1954,
622,Dan Cathy,69,4600,Food & Beverage,Chick-fil-A,United States,Georgia,Atlanta,,FALSE,M,03/01/1953,
622,Trudy Cathy White,66,4600,Food & Beverage,Chick-fil-A,United States,Georgia,Hampton,,FALSE,F,12/17/1955,
622,Jason Chang,77,4600,Technology,electronics,Taiwan,,Taipei,,TRUE,M,05/01/1944,
622,Dagmar Dolby & family,80,4600,Technology,Dolby Laboratories,United States,California,San Francisco,,FALSE,F,6/28/1941,
622,Bruce Flatt,56,4600,Finance & Investments,money management,United Kingdom,,London,,TRUE,M,06/01/1965,Investor
622,Masatoshi Ito,97,4600,Fashion & Retail,retail,Japan,,Tokyo,,TRUE,M,4/30/1924,
622,Viatcheslav Kantor,68,4600,Manufacturing,fertilizer- real estate,United Kingdom,,London,,TRUE,M,09/08/1953,
622,Min Kao & family,73,4600,Technology,navigation equipment,United States,Kansas,Leawood,Garmin Corporation,TRUE,M,01/10/1949,Chairman and CEO
622,Lin Xiucheng & family,66,4600,Technology,electronics,China,,Xiamen,,TRUE,M,10/10/1955,
622,Sami Mnaymneh,60,4600,Finance & Investments,private equity,United States,Florida,Miami Beach,,TRUE,M,7/13/1961,
622,Tony Tamer,64,4600,Finance & Investments,private equity,United States,New York,New York,,TRUE,M,10/12/1957,
622,Richard White,67,4600,Technology,software,Australia,,Sydney,,TRUE,M,04/01/1955,
622,Baoguo Zhu & family,59,4600,Healthcare,pharmaceuticals,China,,Shenzhen,,TRUE,M,4/25/1962,
637,Michael Ashley,57,4500,Fashion & Retail,sports retailing,United Kingdom,,Hertfordshire,,TRUE,M,09/12/1964,
637,Ron Baron,78,4500,Finance & Investments,money management,United States,New York,New York,,TRUE,M,5/23/1943,
637,Bert Beveridge,60,4500,Food & Beverage,vodka,United States,Texas,Austin,,TRUE,M,01/01/1962,
637,Todd Boehly,48,4500,Finance & Investments,finance,United States,Connecticut,Darien,,TRUE,M,9/20/1973,
637,David Bonderman,79,4500,Finance & Investments,private equity,United States,Texas,Fort Worth,,TRUE,M,11/27/1942,
637,Guo Guangchang,55,4500,Diversified,conglomerate,China,,Shanghai,,TRUE,M,2/16/1967,
637,Daryl Katz,60,4500,Diversified,pharmacies,Canada,,Edmonton,Rexall Health,TRUE,M,09/01/1961,Chairman
637,Ted Lerner & family,96,4500,Real Estate,real estate,United States,Maryland,Chevy Chase,,TRUE,M,10/15/1925,
637,Falguni Nayar,59,4500,Fashion & Retail,retailing,India,,Mumbai,Nykaa,TRUE,F,2/19/1963,Founder & CEO
637,Trevor Rees-Jones,70,4500,Energy,oil & gas,United States,Texas,Dallas,,TRUE,M,08/12/1951,
637,J. Joe Ricketts & family,80,4500,Finance & Investments,TD Ameritrade,United States,Wyoming,Little Jackson Hole,,TRUE,M,7/16/1941,
637,Robert Rowling,68,4500,Service,hotels- investments,United States,Texas,Dallas,,FALSE,M,9/26/1953,
637,Mark Stevens,62,4500,Finance & Investments,venture capital,United States,Colorado,Steamboat Springs,,TRUE,M,2/17/1960,
637,Gustav Magnar Witzoe,28,4500,Food & Beverage,fish farming,Norway,,Kverva,,FALSE,M,4/22/1993,
637,Xie Liangzhi & family,56,4500,Healthcare,biotech,China,,Beijing,,TRUE,M,01/01/1966,
637,Yeung Kin-man,58,4500,Manufacturing,electronics,Hong Kong,,Hong Kong,,TRUE,M,04/01/1964,
637,Zhang Hejun,,4500,Manufacturing,electronics,China,,Ningbo,,TRUE,M,,
654,Andrej Babis,67,4400,Food & Beverage,agriculture,Czechia,,Prague,,TRUE,M,09/02/1954,
654,Giuseppe De'Longhi & family,82,4400,Fashion & Retail,coffee makers,Italy,,Treviso,,FALSE,M,4/24/1939,
654,Barry Diller,80,4400,Media & Entertainment,online media,United States,New York,New York,,TRUE,M,02/02/1942,
654,Christian Haub,57,4400,Fashion & Retail,retail,Germany,,Munich,,FALSE,M,7/22/1964,
654,Huang Li,58,4400,Technology,imaging systems,China,,Wuhan,,TRUE,M,6/27/1963,
654,Marian Ilitch,89,4400,Food & Beverage,Little Caesars,United States,Michigan,Bingham Farms,,TRUE,F,01/07/1933,Entrepreneur
654,Suleiman Kerimov & family,56,4400,Finance & Investments,gold,Russia,,Moscow,,TRUE,M,03/12/1966,
654,Edwin Leong,70,4400,Real Estate,real estate,Hong Kong,,Hong Kong,,TRUE,M,12/04/1951,
654,Lu Yiwen,35,4400,Fashion & Retail,Luxury goods,China,,Shenzhen,,TRUE,F,01/01/1987,
654,N.R. Narayana Murthy,75,4400,Technology,software services,India,,Bangalore,,TRUE,M,8/20/1946,
654,Yang Jianliang & family,52,4400,Manufacturing,machinery,China,,Wuxi,,TRUE,M,06/01/1969,
665,Pyotr Aven,67,4300,Finance & Investments,oil- banking- telecom,Russia,,Moscow,,TRUE,M,3/16/1955,
665,Joesley Batista,50,4300,Food & Beverage,beef processing,Brazil,,Sao Paulo,,FALSE,M,02/05/1972,
665,Wesley Batista,49,4300,Food & Beverage,beef packing,Brazil,,Sao Paulo,,FALSE,M,12/08/1972,
665,Margot Birmingham Perot,88,4300,Technology,computer services- real estate,United States,Texas,Dallas,,FALSE,F,11/15/1933,
665,Rick Caruso,63,4300,Real Estate,real estate,United States,California,Los Angeles,,TRUE,M,01/07/1959,
665,Jim Davis,62,4300,Service,staffing & recruiting,United States,Maryland,Cockeysville,,TRUE,M,3/13/1960,
665,Walter P.J. Droege,69,4300,Finance & Investments,investing,Germany,,Dusseldorf,,TRUE,M,11/25/1952,
665,Dan Friedkin,57,4300,Automotive,Toyota dealerships,United States,Texas,Houston,Gulf States Toyota,FALSE,M,2/27/1965,owner and ceo
665,Gao Dekang & family,70,4300,Fashion & Retail,apparel,China,,Changshu,,TRUE,M,02/01/1952,
665,Antti Herlin,65,4300,Manufacturing,elevators- escalators,Finland,,Kirkkonummi,,FALSE,M,11/14/1956,
665,W. Herbert Hunt,93,4300,Energy,oil,United States,Texas,Dallas,,FALSE,M,03/06/1929,Investor
665,Jason Jiang,49,4300,Media & Entertainment,advertising,China,,Shanghai,,TRUE,M,01/01/1973,
665,Rupert Johnson- Jr.,81,4300,Finance & Investments,money management,United States,California,Burlingame,Franklin Resources,FALSE,M,08/10/1940,Vice Chairman and Director
665,Vikram Lal & family,80,4300,Automotive,motorcycles,India,,Delhi,,FALSE,M,03/05/1942,
665,Lam Wai-ying,,4300,Manufacturing,smartphone screens,Hong Kong,,Hong Kong,Biel Crystal,TRUE,F,,Chairman 
665,Chris Larsen,61,4300,Finance & Investments,cryptocurrency,United States,California,San Francisco,,TRUE,M,6/15/1960,
665,Richard Schulze,81,4300,Fashion & Retail,Best Buy,United States,Florida,Bonita Springs,Best Buy,TRUE,M,01/02/1941,Chairman
665,Paul Singer,77,4300,Finance & Investments,hedge funds,United States,New York,New York,Elliott Management,TRUE,M,8/22/1944,Investor
665,Barry Sternlicht,61,4300,Finance & Investments,private equity,United States,Florida,Miami,,TRUE,M,11/27/1960,
665,Su Hua,40,4300,Media & Entertainment,video streaming,China,,Beijing,,TRUE,M,01/01/1982,
665,Mark Walter,61,4300,Finance & Investments,finance,United States,Illinois,Chicago,Guggenheim Partners LLC,TRUE,M,5/22/1960,CEO
665,Ty Warner,77,4300,Real Estate,plush toys- real estate,United States,Illinois,Oak Brook,,TRUE,M,09/03/1944,
687,Rinat Akhmetov,55,4200,Metals & Mining,steel- coal,Ukraine,,Donetsk,,TRUE,M,9/21/1966,
687,Martin & Olivier Bouygues,,4200,Construction & Engineering,construction- media,France,,Paris,,FALSE,M,,
687,Bernard Broermann,78,4200,Healthcare,hospitals,Germany,,Koenigstein,,TRUE,M,11/22/1943,
687,Mong-Koo Chung,84,4200,Automotive,Hyundai,South Korea,,Seoul,Hyundai Motor Co. Ltd.,FALSE,M,3/19/1938,Chairman
687,Daniel D'Aniello,75,4200,Finance & Investments,private equity,United States,Virginia,Vienna,,TRUE,M,9/14/1946,
687,Traudl Engelhorn & family,95,4200,Healthcare,pharmaceuticals- medical equipment,Switzerland,,Lucerne,,FALSE,F,1/21/1927,
687,Piero Ferrari,76,4200,Automotive,automobiles,Italy,,Modena,,FALSE,M,5/22/1945,
687,Carlo Fidani,67,4200,Real Estate,real estate,Canada,,Toronto,Orlando Corporation,FALSE,M,01/01/1955,Chairman
687,Yakir Gabay,55,4200,Real Estate,real estate,United Kingdom,,London,,TRUE,M,4/13/1966,
687,Jaime Gilinski Bacal,64,4200,Finance & Investments,banking,United Kingdom,,London,,FALSE,M,12/14/1957,Investor
687,Bertil Hult,81,4200,Service,education,Switzerland,,Lucerne,,TRUE,M,02/10/1941,
687,Martha Ingram & family,86,4200,Media & Entertainment,book distribution- transportation,United States,Tennessee,Nashville,Ingram Industries,FALSE,F,8/20/1935,Former Chairman
687,Lee Yin Yee,70,4200,Manufacturing,glass,Hong Kong,,Hong Kong,,TRUE,M,01/01/1952,
687,Daniel Loeb,60,4200,Finance & Investments,hedge funds,United States,New York,New York,Third Point,TRUE,M,12/18/1961,Investor
687,Janice McNair,85,4200,Sports,energy- sports,United States,Texas,Houston,,FALSE,F,9/30/1936,
687,Ajay Piramal,66,4200,Healthcare,pharmaceuticals,India,,Mumbai,,FALSE,M,08/03/1955,
687,Lynsi Snyder,39,4200,Food & Beverage,In-N-Out Burger,United States,California,Glendora,,FALSE,F,05/05/1982,
687,Peter Spuhler,62,4200,Manufacturing,train cars,Switzerland,,Weiningen,,TRUE,M,09/01/1959,
687,Kerry Stokes,81,4200,Diversified,construction equipment- media,Australia,,Perth,,TRUE,M,9/13/1940,
687,Jon Stryker,63,4200,Healthcare,medical equipment,United States,New York,New York,,FALSE,M,05/03/1958,
687,Vincent Viola,66,4200,Finance & Investments,electronic trading,United States,New York,New York,,TRUE,M,02/12/1956,
687,Romesh T. Wadhwani,74,4200,Technology,software,United States,California,Palo Alto,Symphony Technology Group,TRUE,M,8/25/1947,Founder and Chairman
709,Juan Domingo Beckmann Legorreta & family,54,4100,Food & Beverage,tequila,Mexico,,,,FALSE,M,07/01/1967,
709,Rafael Del Pino,63,4100,Construction & Engineering,construction,Spain,,Madrid,,FALSE,M,7/18/1958,
709,Sergey Dmitriev,56,4100,Technology,computer software,Czechia,,Prague,,TRUE,M,03/11/1966,
709,Senapathy Gopalakrishnan,67,4100,Technology,software services,India,,Bangalore,,TRUE,M,04/05/1955,
709,James Irving,94,4100,Diversified,diversified,Canada,,Saint John,,FALSE,M,3/20/1928,
709,Lee Boo-jin,51,4100,Service,Samsung,South Korea,,Seoul,Hotel Shilla,FALSE,F,10/06/1970,President and CEO
709,Samuel Tak Lee,82,4100,Real Estate,real estate,Hong Kong,,Hong Kong,,FALSE,M,04/09/1939,
709,Thai Lee,63,4100,Technology,IT provider,United States,Texas,Austin,,TRUE,F,11/27/1958,
709,Eric Lefkofsky,52,4100,Technology,Groupon- investments,United States,Illinois,Glencoe,Groupon,TRUE,M,09/02/1969,Chairman
709,Weiguo Li,57,4100,Manufacturing,construction materials,China,,Beijing,,TRUE,M,01/01/1965,
709,Ermirio Pereira de Moraes & family,89,4100,Diversified,diversified,Brazil,,Sao Paulo,,FALSE,M,5/13/1932,
709,Maria Helena Moraes Scripilliti & family,91,4100,Diversified,diversified,Brazil,,Sao Paulo,,FALSE,F,9/20/1930,
709,Augusto & Giorgio Perfetti,,4100,Food & Beverage,candy,Switzerland,,Lugano,,FALSE,M,,
709,Thomas Secunda,67,4100,Media & Entertainment,Bloomberg LP,United States,New York,Croton-on-Hudson,,TRUE,M,6/23/1954,
709,Shaul Shani,67,4100,Telecom,telecom,Italy,,Milan,,TRUE,M,01/01/1955,
709,E. Joe Shoen,72,4100,Automotive,U-Haul,United States,Arizona,Phoenix,,FALSE,M,10/28/1949,
709,Steven Udvar-Hazy,76,4100,Service,aircraft leasing,United States,California,Beverly Hills,Air Lease,TRUE,M,2/23/1946,CEO and Chairman
709,Russ Weiner,51,4100,Food & Beverage,energy drinks,United States,Florida,Delray Beach,,TRUE,M,05/05/1970,
